gf2x 1.3.0-1
gfan 0.6.2-2
ghc 8.10.1-2
ghc-libs 8.10.1-2
ghidra-git 9.0.4+453+geadf39e6-1
ghostscript 9.52-1
giflib 5.2.1-2
gimp 2.10.20-1
git 2.27.0-1
givaro 4.1.1-2
gksu 2.0.2-6
glew 2.2.0-2
glib-networking 2.64.3-2
glib2 2.64.4-1
glibc 2.31-5
glibmm 2.64.2-1
glm 0.9.9.8-1
glpk 4.65-3
glslang 8.13.3743-1
glu 9.0.1-2
glusterfs 1:7.6-1
gmp 6.2.0-1
gmp-ecm 7.0.4-3
gnome-desktop 1:3.36.4-1
gnome-keyring 1:3.36.0-1
gnome-themes-extra 3.28-2
gnugo 3.8-7
gnupg 2.2.21-1
gnutls 3.6.14-2
go 2:1.14.6-1
gobject-introspection-runtime 1.64.1-2
gource 0.51-3
gparted 1.1.0-1
gperftools 2.7-2
gpgme 1.14.0-1
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
gradle 6.5.1-1
granatier 20.04.3-1
grantlee 5.2.0-3
graphene 1.10.2-1
graphite 1:1.3.14-1
graphviz 2.44.0-5
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-3
gsl 2.6-2
gsm 1.0.19-1
gssdp 1.2.3-1
gst-libav 1.16.2-2
gst-plugins-bad 1.16.2-13
gst-plugins-bad-libs 1.16.2-13
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gst-plugins-good 1.16.2-3
gstreamer 1.16.2-2
gtk-update-icon-cache 1:3.24.21-1
gtk-vnc 1.0.0-2
gtk2 2.24.32-2
gtk3 1:3.24.21-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.2-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.6.1-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
guile 2.2.6-2
guile2.0 2.0.14-4
gunicorn 20.0.4-1
gupnp 1.2.3-1
gupnp-igd 0.2.5+3+gedd78a6-3
gvfs 1.44.1-4
gzip 1.10-3
harfbuzz 2.6.8-2
harfbuzz-icu 2.6.8-2
haskell-aeson 1.5.2.0-6
haskell-aeson-pretty 0.8.8-51
haskell-ansi-terminal 0.10.3-23
haskell-asn1-encoding 0.9.6-31
haskell-asn1-parse 0.9.5-31
haskell-asn1-types 0.3.4-10
haskell-assoc 1.0.1-4
haskell-async 2.2.2-12
haskell-attoparsec 0.13.2.4-8
haskell-base-compat 0.11.1-7
haskell-base-compat-batteries 0.11.1-30
haskell-base-noprelude 4.13.0.0-1
