plantuml 1.2020.15-1
plasma-meta 5.19-1
plasma-wayland-session 5.19.3-2
plasma5-applets-redshift-control 1.0.18-2
poedit 1:2.3.1-1
popcorntime 0.4.4-1
postgresql 12.3-2
postgresql-old-upgrade 11.8-2
primus 20151110-9
primus_vk 1.5-1
print-manager 20.04.3-1
procps-ng 3.3.16-2
protontricks 1.4.1-1
psmisc 23.3-2
pulseaudio-bluetooth 13.0-3
pv 1.6.6-3
python-diff-match-patch 20181111-4
python-gobject 3.36.1-1
python-pip 20.1.1-1
python-pyxdg 0.26-6
python-vdf 3.2-1
python2-dbus 1.2.16-1
python2-diff-match-patch 20121119-4
python2-gtkspellcheck 4.0.5-5
python2-levenshtein 0.12.0-5
python2-pip 20.1.1-1
python2-psycopg2 2.8.5-1
python2-translate-toolkit-lib 2.1.0-1
python2-vdf 3.2-1
python2-virtualenv 20.0.23-1
qemu 5.0.0-7
redshift 1.12-3
reiserfsprogs 3.6.27-3
rsync 3.2.2-2
ruby 2.7.1-2
rustup 1.22.1-1
s-nail 14.9.19-1
sage-notebook 1.1.3-1
sagemath 9.1-7
sagemath-doc 9.1-2
sagemath-jupyter 9.1-7
samba 4.12.3-1
sbt 1:1.3.12-1
scala 2.13.3-1
sed 4.8-1
shadow 4.8.1-3
spectacle 20.04.3-1
sshfs 3.7.0-1
sshpass 1.06-3
steam 1.0.0.64-1
subversion 1.14.0-2
sudo 1.9.1-1
swfmill-git r543.53d7690-1
sysfsutils 2.1.0-11
systemd-sysvcompat 245.6-8
tar 1.32-3
tectonic 0.1.11-0
texinfo 6.7-3
texlive-bibtexextra 2020.55376-1
texlive-core 2020.55416-1
texlive-fontsextra 2020.55407-1
texlive-formatsextra 2020.54498-1
texlive-games 2020.55271-1
texlive-humanities 2020.55389-1
texlive-latexextra 2020.55418-1
texlive-music 2020.54758-2
texlive-pictures 2020.55342-1
texlive-pstricks 2020.55289-1
texlive-publishers 2020.55415-1
texlive-science 2020.55390-1
thunderbird 68.10.0-1
tk 8.6.10-2
traceroute 2.1.0-5
translate-toolkit 3.0.0-1
tree 1.8.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-fira-mono 2:3.206-4
ttf-font-awesome 5.14.0-1
ttf-roboto 2.138-4
unrar 1:5.9.4-1
unzip 6.0-14
usbutils 012-2
util-linux 2.35.2-1
uuid 1.6.2-14
valgrind 3.15.0+269+gd772e2599-1
vi 1:070224-4
virt-manager 2.2.1-2
virtualbox 6.1.12-2
vlc 3.0.11-1
vulkan-intel 20.1.3-1
vulkan-tools 1.2.146-1
vulkan-validation-layers 1.2.146-1
wget 1.20.3-3
which 2.21-5
wine 5.13-1
wine-gecko 2.47.1-1
wine-mono 5.1.0-1
winetricks 20200412-1
wireless_tools 30.pre9-3
wireshark-qt 3.2.5-1
xdebug 2.9.6-1
xf86-video-vesa 2.4.0-3
xfsprogs 5.6.0-2
xorg-docs 1.7.1-3
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-server-devel 1.20.8-2
xorg-server-xdmx 1.20.6-1
xorg-server-xephyr 1.20.8-2
xorg-server-xnest 1.20.8-2
xorg-server-xvfb 1.20.8-2
xorg-server-xwayland 1.20.8-2
xorg-sessreg 1.1.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xinput 1.6.3-2
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xrandr 1.5.1-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xterm 358-1
yarn 1.22.4-1
yasm 1.3.0-4
youtube-dl 2020.06.16.1-2
zerotier-one 1.4.6-2
zip 3.0-9
zola-bin 0.9.0-1
zoom 2.4.129780.0915-1
